	MCL	RTCL	non-RTCL	N(RT)	N(nonRT)	SCL	s	remaining time
0	0	3	5	0	0	4.0	2	0
1	3	8	5	0	1	5.0	1	1
2	5	8	15	0	2	5.0	1	1
3	5	8	15	0	1	6.0	2	0
4	6	8	15	0	0	10.0	2	0
5	8	13	15	0	1	10.0	1	2
6	10	13	15	0	0	12.0	2	0
7	12	13	15	0	0		0	0
8	13	18	15	0	0	15.0	1	0
9	15	18	25	0	1	15.0	1	0
10	15	18	25	0	0	19.0	2	0
11	18	23	25	0	1	20.0	1	1
12	20	23	25	0	0	21.0	2	0
13	21	23	25	0	0		0	0
14	23	28	25	0	0	25.0	1	0
15	25	28	35	0	1	25.0	1	0
16	25	28	35	0	0	29.0	2	0
17	28	33	35	0	1	30.0	1	1
18	30	33	35	0	0	31.0	2	0
19	31	33	35	0	0		0	0
20	33	38	35	0	0	35.0	1	0
21	35	38	45	0	1	35.0	1	0
22	35	38	45	0	0	39.0	2	0
23	38	43	45	0	1	40.0	1	1
24	40	43	45	0	0	41.0	2	0
25	41	43	45	0	0		0	0
26	43	48	45	0	0	45.0	1	0
27	45	48	55	0	1	45.0	1	0
28	45	48	55	0	0	49.0	2	0
29	48	53	55	0	1	50.0	1	1
30	50	53	55	0	0	51.0	2	0
31	51	53	55	0	0		0	0
