,meanRT,MeanNRT,percRT,percNRT,CI_RT_lower,CI_RT_upper,CI_NRT_lower,CI_NRT_upper,CI_RT_lower_perc,CI_RT_upper_perc,CI_NRT_lower_perc,CI_NRT_upper_perc
mean_IAT_NRT,,,,,,,,,,,,
10,2.785767857,13.67350709,8.3572243,40.7261889,2.7431,2.8325,13.4367,13.9734,8.0493,8.6651,36.9281,44.5242
15,2.796272829,10.61440254,8.2321868,33.1516075,2.7555,2.8399,10.3701,10.8627,7.9421,8.5222,30.8231,35.4801
20,2.77558721,8.906670992,8.1407682,27.1884426,2.7367,2.8155,8.6762,9.1292,7.8928,8.3887,25.6953,28.6816
25,2.781416325,8.587549884,8.3369275,26.269718,2.7427,2.8203,8.8435,8.8435,8.0642,8.6096,24.5849,27.9545
30,2.766031938,7.983756545,8.2306203,24.9666817,2.7295,2.8061,7.736,8.2252,7.9338,8.5275,23.0453,26.8881
35,2.77670601,7.882109437,8.246297,24.1317493,2.7406,2.8156,7.6218,8.145,7.9798,8.5128,22.2329,26.0306
40,2.776569934,7.587481776,8.3035358,22.2242844,2.7403,2.8157,7.3385,7.8593,7.9967,8.6104,21.1132,23.3354
